"Label","Population 18 to 24 years","Less than high school graduate","High school graduate (includes equivalency)","Some college or associate's degree","Bachelor's degree or higher","Population 25 years and over","Population 25 years and over!!Less than 9th grade","Population 25 years and over!!9th to 12th grade, no diploma","Population 25 years and over!!High school graduate (includes equivalency)","Population 25 years and over!!Some college, no degree","Population 25 years and over!!Associate's degree","Population 25 years and over!!Bachelor's degree","Population 25 years and over!!Graduate or professional degree","Percent high school graduate or higher","Percent bachelor's degree or higher","Population 25 to 34 years","Population 25 to 34 years!!High school graduate or higher","Population 25 to 34 years!!Bachelor's degree or higher","Population 35 to 44 years","Population 35 to 44 years!!High school graduate or higher","Population 35 to 44 years!!Bachelor's degree or higher","Population 45 to 64 years","Population 45 to 64 years!!High school graduate or higher","Population 45 to 64 years!!Bachelor's degree or higher","Population 65 years and over","Population 65 years and over!!High school graduate or higher","Population 65 years and over!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree","PERCENT IMPUTED","PERCENT IMPUTED!!Educational attainment"
"Rockford, IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","31,764","18.0%","33.0%","41.9%","7.1%","228,042","4.9%","7.9%","33.3%","24.2%","8.7%","13.8%","7.2%","87.2%","21.0%","40,527","87.3%","22.5%","42,983","88.5%","24.0%","93,170","89.7%","21.3%","51,362","81.6%","16.9%","","27.6%","12.7%","11.1%","3.8%","","32,495","18,342","27,041","32,111","46,102","60,450","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","15,173","21.8%","40.9%","32.5%","4.8%","110,551","5.4%","8.4%","32.4%","23.1%","8.8%","14.9%","7.0%","86.2%","21.9%","20,404","85.7%","20.2%","21,808","87.0%","24.0%","45,816","88.4%","22.4%","22,523","81.4%","20.7%","","23.6%","11.0%","9.5%","3.4%","","41,433","20,737","35,646","40,862","56,119","71,583","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","16,591","14.5%","25.8%","50.5%","9.2%","117,491","4.5%","7.3%","34.1%","25.3%","8.6%","12.7%","7.4%","88.2%","20.2%","20,123","88.9%","24.8%","21,175","90.0%","24.0%","47,354","91.0%","20.3%","28,839","81.7%","14.0%","","32.0%","14.2%","12.6%","4.3%","","26,161","13,029","21,184","25,717","35,032","51,015","","(X)"
"Rocky Mount, NC Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,707","23.1%","29.1%","41.9%","6.0%","102,133","4.9%","11.7%","33.6%","24.5%","8.9%","11.7%","4.6%","83.4%","16.3%","16,357","89.4%","15.1%","18,905","88.2%","16.6%","42,526","84.1%","16.9%","24,345","74.3%","15.8%","","31.3%","13.6%","12.3%","4.7%","","26,863","17,054","23,713","30,508","35,817","69,959","","5.4%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,028","32.1%","33.4%","31.5%","3.0%","46,839","6.5%","11.8%","34.3%","26.7%","5.8%","10.3%","4.5%","81.7%","14.8%","8,033","86.8%","12.4%","8,890","86.1%","12.5%","19,814","80.5%","14.1%","10,102","76.0%","20.0%","","20.9%","11.0%","7.0%","5.1%","","31,417","18,161","26,994","33,795","50,698","100,142","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,679","13.6%","24.4%","52.9%","9.1%","55,294","3.6%","11.6%","33.1%","22.6%","11.5%","12.9%","4.7%","84.8%","17.6%","8,324","91.8%","17.8%","10,015","90.0%","20.3%","22,712","87.2%","19.4%","14,243","73.1%","12.8%","","42.1%","15.9%","16.5%","4.4%","","25,197","12,030","21,017","26,847","31,678","66,136","","(X)"
"Rome, GA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,807","16.7%","30.5%","43.1%","9.7%","62,410","8.5%","10.9%","31.5%","23.8%","7.2%","12.4%","5.7%","80.6%","18.2%","10,530","80.9%","19.7%","12,554","87.2%","20.9%","25,177","83.5%","19.1%","14,149","69.4%","13.0%","","42.5%","22.3%","14.5%","3.9%","","27,184","17,325","21,990","29,440","50,475","53,134","","6.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,950","19.7%","32.8%","30.0%","17.5%","29,354","8.9%","12.4%","28.5%","27.0%","6.5%","12.3%","4.5%","78.7%","16.7%","4,373","84.4%","12.2%","6,335","86.3%","17.8%","12,723","79.6%","17.2%","5,923","64.3%","17.8%","","42.8%","21.3%","7.8%","2.8%","","29,595","20,833","25,994","35,332","51,613","56,731","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,857","13.1%","27.8%","59.2%","0.0%","33,056","8.1%","9.6%","34.1%","21.0%","7.8%","12.6%","6.9%","82.3%","19.5%","6,157","78.4%","25.0%","6,219","88.1%","24.0%","12,454","87.5%","21.0%","8,226","73.1%","9.6%","","42.2%","23.0%","21.3%","4.7%","","23,373","11,944","20,683","23,595","46,741","48,644","","(X)"
"Roseburg, OR Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,746","16.9%","28.6%","50.8%","3.7%","77,957","1.9%","7.3%","32.9%","31.5%","9.1%","12.1%","5.3%","90.8%","17.4%","11,285","92.2%","16.2%","11,150","95.3%","21.3%","31,241","92.1%","17.5%","24,281","86.6%","15.9%","","18.6%","17.3%","17.7%","9.2%","","25,930","19,510","23,590","24,354","40,883","41,578","","7.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","4,117","14.8%","33.9%","51.2%","0.0%","37,472","2.3%","7.7%","35.1%","27.3%","8.6%","13.2%","5.8%","90.1%","19.0%","5,642","93.4%","17.4%","5,339","94.2%","21.0%","15,006","90.6%","19.3%","11,485","85.8%","18.5%","","17.9%","16.0%","14.2%","12.4%","","34,943","18,992","27,295","35,753","51,019","60,915","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,629","19.2%","22.6%","50.3%","7.9%","40,485","1.6%","6.9%","30.9%","35.3%","9.4%","11.0%","4.9%","91.6%","15.9%","5,643","91.0%","15.1%","5,811","96.4%","21.6%","16,235","93.5%","15.9%","12,796","87.3%","13.6%","","19.3%","18.6%","20.2%","5.8%","","20,997","21,563","17,111","20,000","37,431","32,538","","(X)"
"Roswell, NM Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,237","19.7%","30.6%","48.6%","1.0%","41,448","11.6%","8.0%","25.2%","23.8%","9.0%","13.8%","8.7%","80.5%","22.5%","8,512","83.8%","14.9%","7,666","89.7%","29.0%","15,921","80.5%","24.7%","9,349","69.7%","20.3%","","30.2%","14.4%","13.0%","4.3%","","31,301","20,874","23,994","30,338","45,996","52,382","","4.1%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","3,763","15.7%","36.3%","46.2%","1.7%","19,472","10.9%","8.9%","28.2%","23.7%","7.0%","10.8%","10.5%","80.2%","21.3%","3,720","77.0%","8.5%","3,927","89.7%","22.3%","7,524","82.3%","25.9%","4,301","70.6%","23.4%","","25.7%","12.3%","13.4%","3.1%","","41,032","26,810","37,964","36,662","65,586","52,904","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,474","25.8%","21.9%","52.2%","0.0%","21,976","12.1%","7.2%","22.6%","23.8%","10.7%","16.4%","7.1%","80.7%","23.5%","4,792","89.1%","19.8%","3,739","89.8%","36.1%","8,397","78.9%","23.6%","5,048","69.0%","17.7%","","34.2%","16.6%","12.7%","5.3%","","22,977","17,694","11,117","25,847","31,515","51,533","","(X)"
"Russellville, AR Micro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","11,881","13.1%","27.1%","53.1%","6.7%","53,071","7.3%","13.7%","36.6%","22.1%","3.4%","11.3%","5.6%","79.1%","16.9%","10,242","80.9%","17.3%","10,038","75.5%","18.5%","20,293","86.7%","18.5%","12,498","68.0%","12.8%","","28.3%","19.9%","17.0%","2.0%","","27,608","24,122","25,566","26,993","41,260","48,401","","5.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,043","15.4%","31.6%","47.0%","6.0%","25,418","8.7%","13.6%","34.5%","24.0%","3.0%","10.0%","6.2%","77.6%","16.2%","5,174","75.8%","16.5%","5,360","70.9%","13.9%","9,361","82.9%","17.9%","5,523","77.0%","15.1%","","24.5%","13.3%","18.6%","1.4%","","33,698","25,806","37,500","30,740","52,661","48,257","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","5,838","10.7%","22.4%","59.4%","7.5%","27,653","5.9%","13.8%","38.4%","20.4%","3.8%","12.6%","5.1%","80.4%","17.6%","5,068","86.0%","18.2%","4,678","80.7%","23.9%","10,932","90.0%","19.0%","6,975","60.9%","10.9%","","32.5%","25.4%","15.4%","2.5%","","20,151","18,105","15,241","19,103","39,538","50,322","","(X)"
"Sacramento--Roseville--Arden-Arcade, CA Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","228,314","10.6%","31.1%","50.4%","7.9%","1,457,238","5.5%","6.1%","22.5%","25.3%","9.8%","19.7%","11.1%","88.4%","30.8%","303,595","89.3%","28.8%","280,740","87.8%","34.3%","572,736","89.6%","30.8%","300,167","85.7%","29.4%","","30.2%","16.4%","12.5%","5.1%","","37,168","18,534","27,487","35,224","53,516","71,388","","7.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","115,445","11.9%","32.8%","48.0%","7.2%","699,792","5.1%","6.8%","22.7%","24.8%","9.2%","20.1%","11.4%","88.1%","31.4%","152,531","87.8%","27.4%","137,824","87.2%","31.4%","277,348","88.9%","31.9%","132,089","87.5%","35.1%","","27.2%","15.9%","11.4%","4.2%","","41,712","22,640","30,360","40,332","62,991","81,359","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","112,869","9.2%","29.4%","52.8%","8.6%","757,446","5.9%","5.5%","22.3%","25.8%","10.4%","19.4%","10.8%","88.7%","30.2%","151,064","90.8%","30.3%","142,916","88.4%","37.2%","295,388","90.2%","29.7%","168,078","84.2%","25.0%","","33.0%","16.8%","13.4%","5.9%","","32,415","12,297","25,756","31,093","45,889","61,747","","(X)"
"Saginaw, MI Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","21,402","12.8%","29.8%","50.9%","6.5%","131,456","3.8%","8.2%","33.2%","24.0%","10.1%","13.5%","7.2%","88.0%","20.7%","21,451","89.3%","27.6%","22,744","90.7%","26.9%","54,614","90.1%","18.9%","32,647","81.5%","14.7%","","29.8%","15.1%","12.4%","5.0%","","28,427","10,044","21,977","27,778","42,390","56,563","","9.8%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,452","13.3%","36.4%","45.6%","4.7%","62,337","4.1%","7.8%","35.1%","24.1%","7.9%","13.6%","7.4%","88.1%","21.0%","10,977","88.1%","24.1%","10,938","94.4%","25.8%","26,303","89.8%","19.4%","14,119","80.0%","17.9%","","19.6%","13.9%","11.0%","4.9%","","37,511","11,146","27,294","41,610","61,364","56,991","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","10,950","12.4%","23.5%","56.0%","8.1%","69,119","3.6%","8.6%","31.6%","23.9%","12.0%","13.4%","6.9%","87.8%","20.3%","10,474","90.6%","31.2%","11,806","87.3%","27.9%","28,311","90.4%","18.4%","18,528","82.6%","12.3%","","38.6%","16.4%","13.4%","5.0%","","22,198","9,745","14,907","20,496","36,561","55,319","","(X)"
"St. Cloud, MN Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","28,611","8.5%","17.2%","68.6%","5.7%","118,379","3.6%","4.4%","30.8%","23.1%","14.1%","16.3%","7.7%","92.0%","24.0%","25,301","96.1%","21.0%","21,060","94.4%","34.7%","47,066","95.1%","22.7%","24,952","80.1%","20.5%","","26.5%","8.7%","9.7%","3.2%","","35,738","18,760","30,016","35,028","47,062","60,473","","4.6%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","14,956","8.9%","21.4%","66.7%","3.0%","58,827","3.1%","4.9%","33.8%","22.8%","12.7%","14.9%","7.7%","91.9%","22.6%","13,178","94.8%","16.1%","10,591","93.9%","29.8%","23,698","94.3%","21.6%","11,360","82.0%","25.4%","","16.1%","9.6%","8.1%","2.1%","","41,708","25,964","35,851","42,267","56,862","72,445","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,655","8.1%","12.7%","70.7%","8.6%","59,552","4.0%","3.9%","27.8%","23.4%","15.6%","17.7%","7.7%","92.1%","25.4%","12,123","97.6%","26.3%","10,469","94.9%","39.5%","23,368","96.0%","23.8%","13,592","78.5%","16.5%","","36.7%","7.6%","11.2%","4.2%","","29,164","8,782","25,341","27,236","40,798","49,953","","(X)"
"St. George, UT Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","13,969","16.7%","28.4%","51.3%","3.6%","90,677","2.5%","4.3%","24.0%","27.6%","9.7%","20.3%","11.8%","93.3%","32.0%","18,368","92.9%","30.9%","14,945","91.1%","31.6%","29,336","94.0%","27.5%","28,028","93.9%","37.8%","","22.1%","13.3%","11.8%","5.6%","","31,032","20,362","30,454","27,658","38,699","49,992","","6.3%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,759","24.9%","25.7%","47.0%","2.4%","44,120","3.1%","3.8%","21.0%","27.3%","8.2%","22.0%","14.5%","93.1%","36.6%","9,346","90.1%","32.0%","7,590","93.9%","33.8%","13,648","94.8%","31.5%","13,536","93.1%","46.4%","","20.9%","12.7%","9.5%","6.6%","","38,759","30,402","38,807","32,586","44,529","53,129","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","7,210","9.1%","30.8%","55.4%","4.7%","46,557","1.9%","4.7%","26.9%","27.8%","11.0%","18.6%","9.1%","93.4%","27.8%","9,022","95.7%","29.8%","7,355","88.3%","29.3%","15,688","93.3%","24.0%","14,492","94.7%","29.7%","","23.2%","13.7%","13.8%","4.4%","","22,349","16,131","20,618","22,139","28,785","41,935","","(X)"
"St. Joseph, MO-KS Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","12,541","17.7%","39.7%","38.6%","3.9%","87,252","3.2%","8.5%","42.0%","21.9%","6.1%","12.7%","5.6%","88.3%","18.3%","18,302","88.4%","15.9%","15,493","88.6%","23.0%","34,385","91.1%","20.4%","19,072","82.9%","12.8%","","29.4%","10.5%","11.8%","3.9%","","30,780","15,195","30,448","26,784","45,178","45,089","","5.2%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,364","25.9%","43.1%","30.1%","0.9%","44,997","4.3%","8.3%","45.5%","20.8%","4.4%","10.2%","6.4%","87.4%","16.6%","10,364","86.9%","8.8%","8,503","89.2%","25.4%","17,968","89.3%","17.3%","8,162","81.8%","15.9%","","24.9%","9.8%","8.6%","3.1%","","36,063","22,636","35,978","31,391","51,336","47,147","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","6,177","9.3%","36.3%","47.4%","7.0%","42,255","2.1%","8.6%","38.3%","23.1%","7.9%","15.3%","4.7%","89.2%","20.0%","7,938","90.3%","25.2%","6,990","87.8%","20.0%","16,417","93.0%","23.7%","10,910","83.7%","10.5%","","33.8%","11.3%","14.4%","4.6%","","25,751","11,122","23,832","22,955","40,590","41,011","","(X)"
"St. Louis, MO-IL Metro Area","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    BOXHEAD#HC01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","254,131","12.4%","28.5%","47.1%","11.9%","1,902,042","2.7%","6.4%","26.5%","23.1%","8.7%","20.2%","12.4%","90.9%","32.5%","375,264","93.2%","38.9%","346,126","93.0%","38.2%","776,172","92.6%","31.4%","404,480","83.6%","23.9%","","25.3%","12.3%","10.6%","4.0%","","37,184","20,748","28,655","32,623","49,110","64,784","","5.9%"
"    BOXHEAD#HC02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","127,813","13.2%","33.4%","43.1%","10.2%","898,456","2.8%","6.8%","26.8%","22.5%","8.0%","20.4%","12.7%","90.4%","33.1%","183,975","92.1%","34.9%","167,600","92.0%","36.3%","374,958","92.0%","32.4%","171,923","83.7%","29.9%","","22.0%","10.1%","8.4%","3.9%","","45,895","25,914","34,737","41,693","60,940","80,886","","(X)"
"    BOXHEAD#HC03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","126,318","11.6%","23.6%","51.2%","13.6%","1,003,586","2.6%","6.1%","26.2%","23.7%","9.4%","19.9%","12.1%","91.3%","32.0%","191,289","94.3%","42.7%","178,526","93.9%","40.0%","401,214","93.2%","30.6%","232,557","83.4%","19.4%","","28.5%","14.4%","12.5%","4.1%","","31,144","15,117","22,479","27,790","40,626","53,424","","(X)"
